word,count
droopy,2
dreary,5
embarrassment,5
disdain,4
slam,4
weird,385
screwing,5
ridiculous,117
farce,1
grating,3
desperation,11
severe,103
robber,1
monopolize,1
stunk,3
irritant,1
exploit,1
spit,963
blames,1
restless,3
cocky,1
offended,7
bitterer,1
obsessively,1
jerk,24
annoyance,5
leave,664
shortage,33
offender,4
insecure,1
dubious,18
finish,1089
badass,3
greenwashing,1
cruel,6
hurtful,1
tantrum,3
distorted,2
ache,40
ruins,19
wellcooked,1052
perverse,1
loose,615
hesitate,90
agonizing,2
bored,93
cynical,4
complained,85
perturbed,4
overwhelmingly,20
desperately,18
disturbing,12
sorry,332
havoc,15
irritate,8
strikes,26
irresponsible,5
frightfully,1
dumped,69
fails,25
incapable,1
mistake,245
offending,3
irritation,21
crazily,1
crap,119
frenzy,6
madly,4
vultures,6
attacked,5
swear,64
faulty,12
nervousness,2
faults,7
disappointment,207
defect,14
nah,2
burdensome,1
nag,1
punish,2
strangely,20
cornered,1
darkness,9
weepy,1
contradict,2
stealer,1
carelessness,3
tough,244
gravel,10
defects,3
weapons,1
exclusion,4
crude,82
defeat,7
pesky,6
punished,3
deficit,2
infected,5
pissed,11
horrors,4
drained,30
shake,647
forgetful,2
impressed,1056
uptight,1
degradation,2
losses,2
dwellers,1
homesick,1
unhealthy,128
wimpy,23
pisses,1
empties,7
bitterish,3
nasty,332
wimps,2
avoids,19
emptied,18
alas,64
rigorous,6
underestimated,5
confusingly,2
mock,4
weirdest,1
repetitive,3
inconvenience,10
lethargy,8
badly,105
shattered,12
shame,129
torn,52
assaulting,1
rob,3
dumb,18
trick,183
bothersome,10
frantically,7
disappoint,88
weakness,10
mofo,3
depressant,2
insipid,5
dump,118
freaking,15
guilt,132
sucks,34
liars,1
warnings,29
skepticism,4
neurotic,4
nags,3
teased,2
pricking,1
risks,18
freezing,65
misinformed,1
risky,8
dull,43
collapse,5
teases,1
teaser,4
comedown,1
taste,4357
angrily,2
nerd,1
remorse,6
broke,159
prickly,12
expected,1070
degraded,4
reek,2
demand,31
argues,2
geek,2
pathetic,8
immoral,1
rotten,51
degrades,1
disturbance,2
accuse,1
overstatement,1
argued,1
regrets,7
devil,7
enemy,8
poisons,6
snobs,19
doubting,3
cried,15
itchy,32
anguished,1
insane,37
protested,2
broken,514
horror,21
poison,35
disregarding,2
dupe,1
riot,1
lacking,1056
inferiors,1
tout,6
boring,99
shit,5
tumor,4
absolute,1036
worrywarts,1
gossip,1
suck,62
dilemma,8
ass,13
disregard,6
stinkers,1
disturbingly,3
losers,2
bomb,45
horrifically,1
vulnerable,1
unattractive,9
worry,267
yucky,46
worse,287
screaming,19
destroying,11
difficulty,69
agitation,1
ignorance,5
embarrassing,8
disappointingly,1
worst,1364
obsessions,1
freakish,1
despondent,1
blind,31
cautious,50
lowbrow,2
disappear,38
terrorizing,1
recession,2
negative,283
killings,1
crying,36
stupidly,6
outrageous,54
wag,12
puking,4
unsophisticated,3
sickened,7
postponed,1
war,17
agitating,1
battled,2
bothered,41
unsuccessfully,4
guiltily,2
shortages,1
discomfort,41
pitiful,4
nervous,62
restricted,44
risk,138
battles,1
doomed,9
grossness,2
discard,14
dangers,12
fought,5
lowery,2
obscene,6
lowers,21
looses,4
axe,6
excluded,2
anxious,40
crush,40
stuck,367
bitters,6
greed,11
struggling,16
severely,54
stinkiest,2
oppressive,1
fascists,1
misinformation,3
anxieties,1
horrid,35
touting,2
lowest,75
uncontrollably,2
failing,11
uncontrollable,5
wickedly,2
completely,919
damage,149
assault,3
thievery,1
futile,2
harsh,105
obnoxiously,3
smother,2
clueless,11
hardship,2
messed,17
confuse,13
scold,1
criminals,1
tragic,2
inhibits,1
vile,30
criticized,1
stress,72
mischief,5
duped,8
regretfully,3
pressured,2
kill,83
embarrassingly,2
bore,3
wrong,784
disorder,16
aggravate,9
criticize,5
reluctantly,20
rage,4
mourned,2
screws,21
distorts,1
dick,32
questionable,30
despised,1
ruinous,1
choking,110
stressed,10
despises,2
victimizes,1
sinful,9
strain,35
interrupting,1
crisis,7
stresses,3
repugnant,978
hysteria,1
chokes,4
indifferent,11
rudely,3
screamed,3
choked,47
darkest,12
embarrass,1
limitation,2
trickier,4
unsure,34
died,88
forbid,6
alone,365
damned,5
reject,14
sad,159
discards,1
depressing,1
offputting,1142
harming,2
haters,8
critics,7
dumbing,1
depression,6
fainthearted,2
denied,1
rant,1
stupid,48
hypocritical,2
bad,2728
drags,5
disheartening,1
ban,7
losing,76
aversion,11
suffer,104
ruining,18
warfare,1
drowned,5
sickeningly,19
neglect,3
doubts,17
violated,2
disasters,2
inadequacy,1
angry,28
dreaded,17
panic,10
underestimate,1
delay,14
hurt,121
hesitation,43
reeked,5
abuse,6
hesitating,3
dead,83
reluctance,1
isolate,15
discouraging,4
fool,46
inhibited,2
grrr,1
lurking,3
hating,4
flu,35
battle,17
dissatisfaction,4
skeptical,198
difficulties,8
naive,3
haunt,1
scare,32
woe,2
panicking,1
painfully,6
